N,y,q,r,y_digits,q_digits,q_norm,q_bin,y_six_digits,exact,correct_digits,valid_digits
247,24173,97,214,5,2,0.39430894,Q25_50,False,0,2,3
247,26851,108,175,5,3,0.43902439,Q25_50,False,0,1,3
247,32219,130,109,5,3,0.52845528,Q50_75,False,0,1,3
247,23299,94,81,5,2,0.38211382,Q25_50,False,0,1,2
247,47923,194,5,5,3,0.78861789,Q75_100,False,0,0,1
247,32133,130,23,5,3,0.52845528,Q50_75,False,0,0,2
247,54509,220,169,5,3,0.89430894,Q75_100,False,0,1,3
247,48506,196,94,5,3,0.79674797,Q75_100,False,0,0,2
247,15150,61,83,5,2,0.24796748,Q0_25,False,0,0,2
247,47071,190,141,5,3,0.77235772,Q75_100,False,0,2,3
247,28686,116,34,5,3,0.47154472,Q25_50,False,0,0,2
247,22474,90,244,5,2,0.36585366,Q25_50,False,0,1,3
247,39983,161,216,5,3,0.65447154,Q50_75,False,0,2,3
247,11360,45,245,5,2,0.18292683,Q0_25,False,0,1,3
247,35729,144,161,5,3,0.58536585,Q50_75,False,0,1,3
247,27684,112,20,5,3,0.45528455,Q25_50,False,0,0,2
247,10791,43,170,5,2,0.17479675,Q0_25,False,0,1,3
247,56289,227,220,5,3,0.92276423,Q75_100,False,0,1,3
247,38444,155,159,5,3,0.6300813,Q50_75,False,0,1,3
247,54933,222,99,5,3,0.90243902,Q75_100,False,0,0,2
247,40750,164,242,5,3,0.66666667,Q50_75,False,0,1,3
247,52914,214,56,5,3,0.8699187,Q75_100,False,0,1,2
247,19026,77,7,5,2,0.31300813,Q25_50,False,0,0,1
247,18897,76,125,5,2,0.30894309,Q25_50,False,0,0,3
247,8722,35,77,4,2,0.14227642,Q0_25,False,0,1,2
247,17761,71,224,5,2,0.28861789,Q25_50,False,0,2,3
247,34450,139,117,5,3,0.56504065,Q50_75,False,0,1,3
247,8611,34,213,4,2,0.13821138,Q0_25,False,0,2,3
247,59530,241,3,5,3,0.9796748,Q75_100,False,0,0,1
247,32321,130,211,5,3,0.52845528,Q50_75,False,0,2,3
247,27315,110,145,5,3,0.44715447,Q25_50,False,0,1,3
247,56301,227,232,5,3,0.92276423,Q75_100,False,0,2,3
247,60834,246,72,5,3,1.0,Q75_100,False,0,0,2
247,46382,187,193,5,3,0.7601626,Q75_100,False,0,1,3
247,53416,216,64,5,3,0.87804878,Q75_100,False,0,0,2
247,3337,13,126,4,2,0.05284553,Q0_25,False,0,2,3
247,10764,43,143,5,2,0.17479675,Q0_25,False,0,1,3
247,45348,183,147,5,3,0.74390244,Q50_75,False,0,1,3
247,2200,8,224,4,1,0.03252033,Q0_25,False,0,2,3
