seed,x,digits,carry_bin,lsd_position,correct,n_terms,raw_coeff,carry_in,carry_out,total_pre_mod,edge_distance,target_digit
0,257,3,high,5,1,0,0,0,0,0,0,0
0,257,3,high,4,1,1,4,2,0,6,1,6
0,257,3,high,3,0,2,20,6,2,26,2,6
0,257,3,high,2,0,3,53,7,6,60,2,0
0,257,3,high,1,0,2,70,4,7,74,1,4
0,257,3,high,0,1,1,49,0,4,49,0,9
0,126,3,high,5,1,0,0,0,0,0,0,0
0,126,3,high,4,0,1,1,0,0,1,1,1
0,126,3,high,3,0,2,4,1,0,5,2,5
0,126,3,high,2,0,3,16,2,1,18,2,8
0,126,3,high,1,1,2,24,3,2,27,1,7
0,126,3,high,0,1,1,36,0,3,36,0,6
0,165,3,high,5,1,0,0,0,0,0,0,0
0,165,3,high,4,1,1,1,1,0,2,1,2
0,165,3,high,3,0,2,12,5,1,17,2,7
0,165,3,high,2,0,3,46,6,5,52,2,2
0,165,3,high,1,1,2,60,2,6,62,1,2
0,165,3,high,0,1,1,25,0,2,25,0,5
0,279,3,high,5,1,0,0,0,0,0,0,0
0,279,3,high,4,1,1,4,3,0,7,1,7
0,279,3,high,3,0,2,28,9,3,37,2,7
0,279,3,high,2,0,3,85,13,9,98,2,8
0,279,3,high,1,1,2,126,8,13,134,1,4
0,279,3,high,0,1,1,81,0,8,81,0,1
0,225,3,high,5,1,0,0,0,0,0,0,0
0,225,3,high,4,1,1,4,1,0,5,1,5
0,225,3,high,3,0,2,8,2,1,10,2,0
0,225,3,high,2,0,3,24,2,2,26,2,6
0,225,3,high,1,1,2,20,2,2,22,1,2
0,225,3,high,0,1,1,25,0,2,25,0,5
0,142,3,high,5,1,0,0,0,0,0,0,0
0,142,3,high,4,1,1,1,1,0,2,1,2
0,142,3,high,3,0,2,8,2,1,10,2,0
0,142,3,high,2,0,3,20,1,2,21,2,1
0,142,3,high,1,0,2,16,0,1,16,1,6
0,142,3,high,0,1,1,4,0,0,4,0,4
0,185,3,high,5,1,0,0,0,0,0,0,0
0,185,3,high,4,1,1,1,2,0,3,1,3
0,185,3,high,3,0,2,16,8,2,24,2,4
0,185,3,high,2,0,3,74,8,8,82,2,2
0,185,3,high,1,1,2,80,2,8,82,1,2
0,185,3,high,0,1,1,25,0,2,25,0,5
0,281,3,high,5,1,0,0,0,0,0,0,0
0,281,3,high,4,0,1,4,3,0,7,1,7
0,281,3,high,3,0,2,32,6,3,38,2,8
0,281,3,high,2,1,3,68,1,6,69,2,9
0,281,3,high,1,0,2,16,0,1,16,1,6
0,281,3,high,0,1,1,1,0,0,1,0,1
0,247,3,high,5,1,0,0,0,0,0,0,0
0,247,3,high,4,1,1,4,2,0,6,1,6
0,247,3,high,3,1,2,16,5,2,21,2,1
0,247,3,high,2,0,3,44,6,5,50,2,0
0,247,3,high,1,1,2,56,4,6,60,1,0
0,247,3,high,0,1,1,49,0,4,49,0,9
0,272,3,high,5,1,0,0,0,0,0,0,0
0,272,3,high,4,1,1,4,3,0,7,1,7
0,272,3,high,3,0,2,28,5,3,33,2,3
0,272,3,high,2,0,3,57,2,5,59,2,9
0,272,3,high,1,1,2,28,0,2,28,1,8
0,272,3,high,0,1,1,4,0,0,4,0,4
0,260,3,high,5,1,0,0,0,0,0,0,0
0,260,3,high,4,1,1,4,2,0,6,1,6
0,260,3,high,3,0,2,24,3,2,27,2,7
0,260,3,high,2,0,3,36,0,3,36,2,6
0,260,3,high,1,1,2,0,0,0,0,1,0
0,260,3,high,0,1,1,0,0,0,0,0,0
0,183,3,high,5,1,0,0,0,0,0,0,0
0,183,3,high,4,1,1,1,2,0,3,1,3
0,183,3,high,3,0,2,16,7,2,23,2,3
0,183,3,high,2,0,3,70,4,7,74,2,4
0,183,3,high,1,0,2,48,0,4,48,1,8
0,183,3,high,0,1,1,9,0,0,9,0,9
0,145,3,high,5,1,0,0,0,0,0,0,0
0,145,3,high,4,1,1,1,1,0,2,1,2
0,145,3,high,3,0,2,8,3,1,11,2,1
0,145,3,high,2,1,3,26,4,3,30,2,0
0,145,3,high,1,1,2,40,2,4,42,1,2
0,145,3,high,0,1,1,25,0,2,25,0,5
0,283,3,high,5,1,0,0,0,0,0,0,0
0,283,3,high,4,1,1,4,4,0,8,1,8
0,283,3,high,3,0,2,32,8,4,40,2,0
0,283,3,high,2,0,3,76,4,8,80,2,0
0,283,3,high,1,0,2,48,0,4,48,1,8
0,283,3,high,0,1,1,9,0,0,9,0,9
0,153,3,high,5,1,0,0,0,0,0,0,0
0,153,3,high,4,1,1,1,1,0,2,1,2
0,153,3,high,3,0,2,10,3,1,13,2,3
0,153,3,high,2,1,3,31,3,3,34,2,4
0,153,3,high,1,1,2,30,0,3,30,1,0
0,153,3,high,0,1,1,9,0,0,9,0,9
0,197,3,high,5,1,0,0,0,0,0,0,0
0,197,3,high,4,1,1,1,2,0,3,1,3
0,197,3,high,3,0,2,18,10,2,28,2,8
0,197,3,high,2,0,3,95,13,10,108,2,8
0,197,3,high,1,1,2,126,4,13,130,1,0
0,197,3,high,0,1,1,49,0,4,49,0,9
0,127,3,high,5,1,0,0,0,0,0,0,0
0,127,3,high,4,0,1,1,0,0,1,1,1
0,127,3,high,3,0,2,4,2,0,6,2,6
0,127,3,high,2,0,3,18,3,2,21,2,1
0,127,3,high,1,1,2,28,4,3,32,1,2
0,127,3,high,0,1,1,49,0,4,49,0,9
